Complaint_ID,Complaint_Text,Category,Priority,Status,Date
1,Incorrect billing amount on my invoice,Billing Issue,Medium,In Progress,2024-02-24
2,Return request is pending,Refund/Return,Medium,In Progress,2024-12-24
3,Need refund for cancelled order,Refund/Return,High,Resolved,2024-05-06
4,Money not refunded after return,Refund/Return,Low,Resolved,2024-02-02
5,Customer service is not responding,Service Issue,Medium,In Progress,2024-02-24
6,Order marked delivered but not received,Delivery Problem,High,In Progress,2024-01-15
7,Need refund for cancelled order,Refund/Return,Medium,In Progress,2024-06-21
8,Order marked delivered but not received,Delivery Problem,Medium,In Progress,2024-10-20
9,Extra charges applied without notice,Billing Issue,High,Open,2024-01-05
10,No help from customer care,Service Issue,Medium,Open,2024-11-24
11,No help from customer care,Service Issue,Low,Resolved,2024-09-04
12,Package not delivered yet,Delivery Problem,Low,In Progress,2024-03-24
13,Customer service is not responding,Service Issue,High,Resolved,2024-05-21
14,Money not refunded after return,Refund/Return,Low,In Progress,2024-12-06
15,Order marked delivered but not received,Delivery Problem,High,Resolved,2024-09-24
16,Issue not resolved by support,Service Issue,Low,Open,2024-07-07
17,Money not refunded after return,Refund/Return,Medium,Open,2024-07-21
18,Incorrect billing amount on my invoice,Billing Issue,Low,Open,2024-06-27
19,Product has scratches,Product Defect,Low,Resolved,2024-04-25
20,Wrong delivery address used,Delivery Problem,Medium,Open,2024-01-08
21,Refund not processed yet,Refund/Return,Medium,Open,2024-09-27
22,Customer service is not responding,Service Issue,Medium,Open,2024-06-02
23,Extra charges applied without notice,Billing Issue,Low,Resolved,2024-10-07
24,Delivery was delayed by many days,Delivery Problem,Medium,Open,2024-11-21
25,Received a defective piece,Product Defect,Medium,In Progress,2024-08-15
26,Service is very slow,Service Issue,High,In Progress,2024-04-13
27,Support team was rude,Service Issue,Medium,Open,2024-07-30
28,Item stopped working after one day,Product Defect,High,Open,2024-01-10
29,Extra charges applied without notice,Billing Issue,Low,Open,2024-12-11
30,Issue not resolved by support,Service Issue,Low,In Progress,2024-01-04
31,Product has scratches,Product Defect,Medium,Open,2024-08-20
32,Quality is very poor,Product Defect,High,Open,2024-05-31
33,Support team was rude,Service Issue,High,Open,2024-01-15
34,Need refund for cancelled order,Refund/Return,Medium,In Progress,2024-06-29
35,Quality is very poor,Product Defect,Medium,Open,2024-07-07
36,I want to return my order,Refund/Return,High,Open,2024-11-18
37,Delivery was delayed by many days,Delivery Problem,High,In Progress,2024-05-26
38,Quality is very poor,Product Defect,High,Resolved,2024-02-08
39,Incorrect billing amount on my invoice,Billing Issue,Low,Open,2024-11-17
40,Extra charges applied without notice,Billing Issue,Medium,Resolved,2024-02-01
41,Payment deducted but order not confirmed,Billing Issue,High,Resolved,2024-03-26
42,No help from customer care,Service Issue,High,Open,2024-05-19
43,Return request is pending,Refund/Return,High,Open,2024-06-28
44,Money not refunded after return,Refund/Return,Low,Open,2024-02-21
45,I was charged twice for my order,Billing Issue,High,Resolved,2024-11-17
46,Product has scratches,Product Defect,Low,In Progress,2024-09-11
47,Refund not processed yet,Refund/Return,High,Resolved,2024-03-08
48,Customer service is not responding,Service Issue,High,Open,2024-12-27
49,I want to return my order,Refund/Return,Low,Resolved,2024-07-11
50,I want to return my order,Refund/Return,Medium,Resolved,2024-02-15
51,Wrong delivery address used,Delivery Problem,High,Open,2024-09-29
52,Service is very slow,Service Issue,Low,Open,2024-11-06
53,Wrong delivery address used,Delivery Problem,Medium,In Progress,2024-08-28
54,Item stopped working after one day,Product Defect,Medium,In Progress,2024-02-27
55,Return request is pending,Refund/Return,High,Resolved,2024-05-04
56,Payment deducted but order not confirmed,Billing Issue,High,In Progress,2024-08-03
57,Need refund for cancelled order,Refund/Return,High,Resolved,2024-09-08
